iter	Logloss
0	0.678678357
1	0.6644090522
2	0.6504883417
3	0.638799675
4	0.6270754755
5	0.6171356836
6	0.6071381489
7	0.5977983002
8	0.5896940423
9	0.582003424
10	0.5741018393
11	0.5676730791
12	0.5617669529
13	0.5552553433
14	0.5499171432
15	0.5445532183
16	0.5395038779
17	0.5354655876
18	0.5322117377
19	0.5285270031
20	0.5245106938
21	0.5210365788
22	0.5175131452
23	0.5146053946
24	0.5117331338
25	0.5088356712
26	0.5058944717
27	0.5028522814
28	0.5007913537
29	0.498731734
30	0.4970244744
31	0.4945766797
32	0.4932959006
33	0.49170006
34	0.4896422136
35	0.4879472255
36	0.4861164258
37	0.4845250585
38	0.4830679151
39	0.4814360143
40	0.4795333618
41	0.4779314692
42	0.4767720249
43	0.4751183104
44	0.4737713903
45	0.4725697497
46	0.4711235885
47	0.4701991594
48	0.468939851
49	0.4679208133
50	0.4663108873
51	0.4651481654
52	0.4643785344
53	0.4632634493
54	0.4624112535
55	0.4616177897
56	0.4604309332
57	0.459292551
58	0.4582624696
59	0.4576323552
60	0.4569015957
61	0.4559677012
62	0.4550818356
63	0.4542826751
64	0.4534205328
65	0.4528066938
66	0.4519754506
67	0.4513444353
68	0.4504916977
69	0.44978608
70	0.4493174905
71	0.4487173936
72	0.4479872916
73	0.4473996678
74	0.4464754204
75	0.4455520511
76	0.4450361988
77	0.4445703202
78	0.4438167992
79	0.4430865862
80	0.4425276016
81	0.4417978116
82	0.4410334535
83	0.4404040751
84	0.4395026923
85	0.4386179489
86	0.4380391135
87	0.4374230196
88	0.4369184458
89	0.436269076
90	0.43555502
91	0.4349049928
92	0.4342546151
93	0.4337332272
94	0.4331925326
95	0.4327317132
96	0.4322985473
97	0.4316454435
98	0.4312006065
99	0.4303627728
100	0.4299825455
101	0.4296294297
102	0.429309184
103	0.4287433783
104	0.4281617737
105	0.4276695151
106	0.4273720743
107	0.4268784551
108	0.4264769651
109	0.4259767751
110	0.4252256952
111	0.4247306393
112	0.4241333321
113	0.4235862979
114	0.423148975
115	0.4225328126
116	0.4218557738
117	0.4215551449
118	0.421148602
119	0.420613842
120	0.4200327149
121	0.4196332717
122	0.4192849896
123	0.418768666
124	0.4182523491
125	0.4179258345
126	0.4176714221
127	0.4172940346
128	0.4169567621
129	0.4164679435
130	0.4161604195
131	0.4157989645
132	0.4152204861
133	0.4146670578
134	0.4143620063
135	0.4139867225
136	0.4134859112
137	0.4131554456
138	0.4129059841
139	0.4126510039
140	0.412295394
141	0.4118941567
142	0.4115087558
143	0.4108325447
144	0.4103110565
145	0.4100445504
146	0.4094371965
147	0.4090384213
148	0.4087486566
149	0.4084894852
150	0.4080649303
151	0.4075622426
152	0.4071979162
153	0.406876125
154	0.4064484435
